INTL_20160320_000001	副本、任务追加进场1次	인던,미션 1회 추가입장				
INTL_20160320_000002	包含为您服务器内所有角色提供的各种特殊福利,持续60天.右键点击使用.{nl}[代币福利]{nl} - 可以同时学习最多2个属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上挂出最多5件物品{nl} - 角色移动速度增加3{nl} - 猎杀怪物获得的经验值增加20%{nl} - 可以使用高级手势{nl}- 可以使用个人交易达60次{nl}- 任务和副本额外进入1次{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능				
INTL_20160320_000003	包含为您服务器内所有角色提供的各种特殊福利,持续60天.右键点击使用.{nl}[代币福利]{nl} - 可以同时学习最多2个属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上挂出最多5件物品{nl} - 角色移动速度增加3{nl} - 猎杀怪物获得的经验值增加30%{nl} - 可以使用高级手势{nl}- 可以使用个人交易达60次{nl}- 任务和副本额外进入1次{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	INTL_20160320_000002	包含为您服务器内所有角色提供的各种特殊福利,持续60天.右键点击使用.{nl}[代币福利]{nl} - 可以同时学习最多2个属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上挂出最多5件物品{nl} - 角色移动速度增加3{nl} - 猎杀怪物获得的经验值增加20%{nl} - 可以使用高级手势{nl}- 可以使用个人交易达60次{nl}- 任务和副本额外进入1次{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	
INTL_20160323_000004	- 可以同时学习最多2个属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上挂出最多5件物品{nl} - 角色移动速度增加3{nl} - 只能交易达30次{nl	- 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능{nl}				
INTL_20160326_000005	赋予服务器内所有角色代币福利,持续60天.右键点击使用.{nl}[代币福利]{nl} - 可以同时学习最多2个属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上挂出最多5件物品{nl} - 角色移动速度增加3{nl} - 猎杀怪物获得的经验值增加30%{nl}(与EXP之书效果叠加){nl} - 可以使用高级手势{nl} - 最大buff次数增加{nl} - 可以使用个人交易达60次	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160320_000003	包含为服务器内所有角色提供的各种特别福利,持续60天.右键点击使用.{nl}[代币福利]{nl} - 可以同时学习最多2个属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上挂出最多5件物品{nl} - 角色移动速度增加3{nl} - 猎杀怪物获得的经验值增加30%{nl} - 可以使用高级手势{nl}- 可以使用个人交易达60次{nl}- 额外进入任务和地城实例1次{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	
INTL_20160326_000006	Token: 30 天	토큰:30일				
INTL_20160329_000007	魔法赋予卷轴10个宝箱	마법 부여 스크롤 10개 상자				
INTL_20160329_000008	使用时,获得魔法赋予卷轴10个.点击鼠标右键使用.	사용 시 마법 부여 스크롤 10개를 획득합니다. 마우스 우클릭으로 사용합니다.				
INTL_20160329_000009	扩音器10个宝箱	확성기 10개 상자				
INTL_20160329_000010	使用时可获得扩音器10个.点击鼠标右键使用.	사용 시 확성기 10개를 획득합니다. 마우스 우클릭으로 사용합니다.				
INTL_20160419_000011	用于获取455 TP.	사용 시 455 TP를 획득합니다.				
INTL_20160419_000012	用于获取266 TP.	사용 시 266 TP를 획득합니다.				
INTL_20160419_000013	用于获取112 TP.	사용 시 112 TP를 획득합니다.				
INTL_20160419_000014	右键点击获取以下物品:{nl} - 455 TP{nl} - 代币(60天){nl} - 头饰 - 波波利恩娃娃{nl} - 头饰 - 哈娜明娃娃{nl} - 霍格兰伴侣兑换券{nl} - 统计重置药水{nl} - 技能重置药水{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 455 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}	ETC_20160320_021185	点击滑鼠右键即可使用并获得内容物。{nl} - 650 TP{nl} - VIP(60天){nl} - 髮饰 - 波波小狮王人偶{nl} - 髮饰 - 粉红小花怪人偶{nl} - 霍克鹰宠物交换券{nl} - 属性重置药水{nl} - 技能重置药水{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 650 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}	
INTL_20160419_000015	右键点击获取以下物品:{nl} - 266 TP{nl} - 代币(30天){nl} - 头饰 - 波波利恩娃娃{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 266 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}	ETC_20160320_021189	点击滑鼠右键即可使用并获得内容物。{nl} - 380 TP{nl} - VIP (30天){nl} - 髮饰 - 波波小狮王人偶{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 380 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}	
