QUEST_UNUSED_20150317_000001	哈哈,你要去见大师帕登纳了.祝你好运.	아하, 파드너 마스터에게로 가는 길이로군. 무운을 빕지요.				
QUEST_UNUSED_20150317_000002	注意通往哈希普肖的漫长道路.	먼 길 조심하십쇼.				
QUEST_UNUSED_20150317_000003	所以,宽恕者不允许你做介绍.声音落下银色一如赎罪券一般的礼物{nl} 赦免的道路通往我们的救赎之路{nl}财富同样,也应注意到这确实是女神的一大恩惠.	그래. 이거야. 파드너로 입문을 허락하지.{nl}면죄부를 산 은화 한 닢이 헌금함에 떨어지는 소리가 우릴 구원으로 이끌지.{nl}재물 또한 여신의 커다란 축복이라는 것을 명심하게.				
QUEST_UNUSED_20150317_000004	宽恕者回头望向你的主人Te.{nl}如果你找了很长时间火锅.	어서 파드너 마스터께 돌아가 보게.{nl}그 불항아리를 아주 오랫동안 찾고 계셨거든.				
QUEST_UNUSED_20150317_000005	守门者猫头鹰雕像	문지기 부엉이 조각상				
QUEST_UNUSED_20150317_000006	泰斯拉把木头雕刻成我们的样子.{nl}所以我们一直都想好好报答他的恩惠.{nl}	테슬라님은 나무를 깎아서 우릴 만드셨어요.{nl}그래서 우리 부엉이들은 항상 은혜를 갚고 싶어 한답니다.{nl}				문지기 부엉이 조각상
QUEST_UNUSED_20150317_000007	所以我说.我有事相求.{nl}能不能帮我收集大教堂的大理石雕像然后转交给泰斯拉呢?	그래서 말인데요. 부탁드릴 것이 있어요.{nl}대성당에서 대리석 조각을 모아서 테슬라님께 전해 주실 수 있을까요?				문지기 부엉이 조각상
QUEST_UNUSED_20150317_000008	泰斯拉应该很喜欢大教堂的大理石吧?	대성당의 대리석이라면 테슬라님께서 좋아하시겠지요?				문지기 부엉이 조각상
QUEST_UNUSED_20150317_000009	猫头鹰雕像的礼物吗?{nl}那些可爱家伙就是我生活的证据吧.{nl}	부엉이 조각상들의 선물인가?{nl}그 귀여운 녀석들은 내 삶에 대한 증거이지. {nl}				조각가 테슬라
QUEST_UNUSED_20150317_000010	总之…难怪好像有客人来的样子,谢谢啊.	어쨌든.. 오늘 어쩐지 반가운 손님이 오실 것 같더라니, 고맙네그려.				조각가 테슬라
QUEST_UNUSED_20150317_000011	我第一次在柯拉佩达见到你的时候,我就在想你真的能用那纤细的手臂挥动剑吗?{nl}不过现在都成为了人人歌颂的勇士了.{nl}	자네를 클라페다에서 처음 봤을 땐 그 가녀린 팔로 검이나 휘두를 수 있을까 싶었었지.{nl}허나 지금은 많은 이들이 칭송하는 용사 중의 용사가 되었구나.{nl}				소드맨 마스터
QUEST_UNUSED_20150317_000012	但我还是想确认看看你的勇气.{nl}报丧女妖让邪恶气息弥漫著整个黑暗森林…对你来说应该是个刚刚好的挑战吧!	하지만 난 자네의 용기를 직접 확인하고 싶어.{nl}이 어두운 숲을 사악한 기운으로 뒤덮는 밴시.. 자네에겐 적당한 도전이 아닌가 싶군.				소드맨 마스터
QUEST_UNUSED_20150317_000013	不怎么样嘛!只不过是狩猎而已.{nl}他应该会在柯拉佩达等你喔!	별거 아닐세. 그저 사냥일 뿐이지.{nl}그럼, 클라페다에서 기다리고 있겠네.				소드맨 마스터
QUEST_UNUSED_20150317_000014	来了啊!我一直在等你呢!{nl}这是符合你勇气的奖励.	왔군. 기다리고 있었네.{nl}이 정도면 자네의 용기에 걸맞은 보상일 거야.				소드맨 마스터
